stake;upper;lower;d;x;y;PH;CLAY;EXPH;EXCA;EXMG;ECEC;TOOC;TOPH;TOCA;FRAG
20;0;20;10;807974.537;9639989.352;5.51;336;131;3.73;0.7;9.1258639911;20.8;1.5;1.7;0.28
20;20;40;30;807974.537;9639989.352;5.27;404;280;1.71;0.33;7.461761427;15;2.9;1.3;0.8
20;40;60;50;807974.537;9639989.352;5.13;463;261;1.45;0.36;9.131761427;12;2.2;1.1;0.39
20;60;80;70;807974.537;9639989.352;4.96;708.5;159;0.66;0.2;3.4320401338;4.1;1.2;0.6;0
20;80;100;90;807974.537;9639989.352;4.94;671.5;152;0.6;0.19;2.7994760312;3.6;1.2;0.6;0
21;0;20;10;807975.31;9640084.018;5.48;291.5;288;4.2;1.55;10.984057971;23.1;1.2;2;0.58
21;20;40;30;807975.31;9640084.018;5;546.5;136;1.4;0.16;5.5666443701;11.1;1.8;0.8;0.03
21;40;60;50;807975.31;9640084.018;5.02;635.5;224;0.95;0.13;6.4046042363;8.4;1.7;0.6;0
21;60;80;70;807975.31;9640084.018;5.01;656.5;228;0.84;0.14;5.6446042363;6.9;1.6;0.9;0
21;80;100;90;807975.31;9640084.018;5.03;662.5;254;0.8;0.12;5.4389520624;5.9;1.5;0.5;0
22;0;20;10;808007.294;9640127.1;5.23;251;59;1.14;0.33;6.0999888517;12.4;0.5;1.5;0.14
22;20;40;30;808007.294;9640127.1;5.09;429;78;0.65;0.22;5.1840802676;9.6;0.6;1.3;0
22;40;60;50;808007.294;9640127.1;5.03;500.5;80;0.61;0.26;5.251516165;7.2;0.7;0.4;0
22;60;80;70;808007.294;9640127.1;4.94;600;88;0.61;0.26;4.671516165;7.6;0.8;0.5;0
22;80;100;90;808007.294;9640127.1;5.06;633;97;0.52;0.19;4.1538238573;6.7;0.8;0.4;0
23;0;20;10;808034.117;9640168.183;5.28;273;29;0.91;0.35;4.7099888517;11.1;0.3;0.8;0
23;20;40;30;808034.117;9640168.183;5.17;415;41;0.52;0.19;5.0197324415;9.7;0.6;0.8;0
23;40;60;50;808034.117;9640168.183;4.8;515;37;0.28;0.13;3.4240802676;8;0.6;0.3;0
23;60;80;70;808034.117;9640168.183;4.53;583;36;0.11;0.07;4.8094760312;6.7;0.5;0.3;0
23;80;100;90;808034.117;9640168.183;4.51;616;32;0.11;0.08;2.9694760312;5.5;0.5;0.9;0
24;0;20;10;808064.912;9640209.078;4.95;273.5;16;0.45;0.1;5.8420289855;11.9;0.3;0.9;0
24;20;40;30;808064.912;9640209.078;4.76;436;15;0.17;0.09;4.6040802676;8.5;0.4;0.5;0
24;40;60;50;808064.912;9640209.078;4.78;504.5;16;0.13;0.06;3.8846042363;7.4;0.4;0.3;0
24;60;80;70;808064.912;9640209.078;4.96;556;16;0.09;0.03;2.5438238573;6.7;0.5;0.6;0
24;80;100;90;808064.912;9640209.078;5.04;617.5;21;0.17;0.04;3.1594760312;5.8;0.5;1.3;0
25;0;20;10;808104.399;9640180.15;4.65;340;30;0.29;0.02;5.9543366778;13;0.4;0.9;0
25;20;40;30;808104.399;9640180.15;4.6;428.5;24;0.14;0.02;4.4946042363;11.2;0.6;1.8;0
25;40;60;50;808104.399;9640180.15;4.55;478.5;32;0.08;0.02;5.7720401338;9.9;0.5;0.5;0
25;60;80;70;808104.399;9640180.15;4.58;485.5;33;0.08;0.02;4.7320401338;6.7;0.7;0.3;0
25;80;100;90;808104.399;9640180.15;4.74;538.5;29;0.07;0.02;3.9394760312;8.6;0.6;0.2;0
26;0;20;10;808075.432;9640139.24;3.9;253.5;67;0.07;0.03;5.0551170569;11.4;0.5;0.3;0
26;20;40;30;808075.432;9640139.24;4.44;351.5;92;0.07;0.02;5.3546042363;8.6;0.7;0.5;0.31
26;40;60;50;808075.432;9640139.24;4.6;392.5;75;0.06;0.03;4.6520401338;6.8;0.8;0.3;0.02
26;60;80;70;808075.432;9640139.24;4.94;490;89;0.16;0.04;4.5320401338;6.1;0.7;0.3;0
26;80;100;90;808075.432;9640139.24;4.82;530;90;0.24;0.03;4.2394760312;5;0.8;0.8;0
27;0;20;10;808045.977;9640097.274;5.08;236;77;0.83;0.32;5.9325529543;15;0.7;0.6;0.06
27;20;40;30;808045.977;9640097.274;5.54;224.5;57;1.42;0.71;5.6971683389;18.3;0.5;0.9;0.28
27;40;60;50;808045.977;9640097.274;5.58;242.5;65;1.88;0.24;6.0946042363;15.2;0.6;1.2;0
27;60;80;70;808045.977;9640097.274;5.59;476.5;116;0.94;0.18;5.0894760312;6.9;1;0.5;0
27;80;100;90;808045.977;9640097.274;5.45;522.5;133;0.85;0.15;4.3294760312;5.8;1.2;0.5;0
28;0;20;10;808015.853;9640052.416;5.66;312.5;501;3.22;0.6;10.4458082497;16.2;2.5;2.4;0.59
28;20;40;30;808015.853;9640052.416;5.65;353.5;312;2.32;0.4;6.4781605351;12.5;1.7;1.5;0.64
28;40;60;50;808015.853;9640052.416;5.59;442.5;173;1.7;0.27;6.9217725753;8;1.2;0.8;0.13
28;60;80;70;808015.853;9640052.416;5.49;512;178;1.42;0.26;5.5874247492;6.9;1.1;0.7;0.08
28;80;100;90;808015.853;9640052.416;5.39;527;154;1.44;0.28;6.1969007804;7;1.2;0.6;0
29;0;20;10;808057.213;9640023.158;5.09;276;142;0.97;0.25;7.9107580825;26.2;2.2;0.4;0.61
29;20;40;30;808057.213;9640023.158;5.03;391.5;145;0.66;0.21;7.4825529543;17.5;2.1;0.7;0.12
29;40;60;50;808057.213;9640023.158;5.04;446;140;0.64;0.18;5.5371683389;12.9;1.9;0.8;0.12
29;60;80;70;808057.213;9640023.158;5.03;533.5;111;0.81;0.16;4.9471683389;10;1.7;0.7;0.04
29;80;100;90;808057.213;9640023.158;5.13;558;121;0.88;0.13;4.0271683389;7.4;1.6;0.6;0.07
30;0;20;10;808087.728;9640064.064;4.43;275;78;0.1;0.05;6.6276811594;28.8;1.6;0.2;0
30;20;40;30;808087.728;9640064.064;4.61;399.5;45;0.06;0.02;5.1146042363;15.9;1.3;0.2;0
30;40;60;50;808087.728;9640064.064;4.94;508;52;0.2;0.07;4.2620401338;11.5;1.3;0.2;0
30;60;80;70;808087.728;9640064.064;5.18;518;70;0.47;0.07;3.9371683389;8.5;1.3;0.3;0
30;80;100;90;808087.728;9640064.064;5.08;552;81;0.52;0.05;3.7820401338;8.2;1.3;0.6;0
31;0;20;10;808029.605;9639981.595;5.07;337.5;167;2.64;0.47;10.8374136009;36.1;2.6;2;0.06
31;20;40;30;808029.605;9639981.595;5.26;480.5;213;1.35;0.29;7.5040802676;20.5;2.9;1.2;0.12
31;40;60;50;808029.605;9639981.595;5.27;541.5;164;1.11;0.28;7.4446042363;16.4;2.3;1.1;0.08
31;60;80;70;808029.605;9639981.595;5.18;617.5;125;0.85;0.27;4.4020401338;8.4;1.9;0.6;0
31;80;100;90;808029.605;9639981.595;5.18;619;172;0.72;0.25;4.1520401338;5.2;1.7;0.8;0
32;0;20;10;808014.07;9639959.932;5.32;278.5;305;5.68;0.88;15.0676254181;44.5;2.8;4.3;0.52
32;20;40;30;808014.07;9639959.932;5.63;427;634;5.34;0.41;13.3445039019;33.8;4.1;5.4;1.13
32;40;60;50;808014.07;9639959.932;5.75;469.5;587;4.46;0.25;10.107335563;22.8;3.5;4.4;0.47
32;60;80;70;808014.07;9639959.932;5.83;463.5;620;4.2;0.16;9.7985953177;19.8;3.7;4.6;0.64
32;80;100;90;808014.07;9639959.932;5.77;482;798;4.32;0.08;8.1743701226;19.8;4.8;6.1;0.32
33;0;20;10;808114.389;9640107.104;4.74;295;42;0.29;0.17;2.2676811594;24.2;1.1;0.4;0
